x_H,y_H
0.940000,0.827989
0.950000,0.821913
0.960000,0.815740
0.970000,0.809474
0.980000,0.803114
0.990000,0.796664
1.000000,0.790123
1.010000,0.783495
1.020000,0.776782
1.030000,0.769983
1.040000,0.763103
1.050000,0.756142
1.060000,0.749103
1.070000,0.741987
1.080000,0.734797
1.090000,0.727534
1.100000,0.720201
1.110000,0.712800
1.120000,0.705334
1.130000,0.697803
1.140000,0.690211
1.150000,0.682560
1.160000,0.674852
1.170000,0.667089
1.180000,0.659275
1.190000,0.651410
1.200000,0.643498
1.210000,0.635541
1.220000,0.627541
1.230000,0.619502
1.240000,0.611425
1.250000,0.603313
1.260000,0.595168
1.270000,0.586993
1.280000,0.578791
1.290000,0.570564
1.300000,0.562315
1.310000,0.554046
1.320000,0.545760
1.330000,0.537460
1.340000,0.529148
1.350000,0.520826
1.360000,0.512499
1.370000,0.504167
1.380000,0.495833
1.390000,0.487501
1.400000,0.479174
1.410000,0.470852
1.420000,0.462540
1.430000,0.454240
1.440000,0.445954
1.450000,0.437685
1.460000,0.429436
1.470000,0.421209
1.480000,0.413007
1.490000,0.404832
1.500000,0.396687
1.510000,0.388575
1.520000,0.380498
1.530000,0.372459
1.540000,0.364459
1.550000,0.356502
1.560000,0.348590
1.570000,0.340725
1.580000,0.332911
1.590000,0.325148
1.600000,0.317440
1.610000,0.309789
1.620000,0.302197
1.630000,0.294666
1.640000,0.287200
1.650000,0.279799
1.660000,0.272466
1.670000,0.265203
1.680000,0.258013
1.690000,0.250897
1.700000,0.243858
1.710000,0.236897
1.720000,0.230017
1.730000,0.223218
1.740000,0.216505
1.750000,0.209877
1.760000,0.203336
1.770000,0.196886
1.780000,0.190526
1.790000,0.184260
1.800000,0.178087
1.810000,0.172011
1.820000,0.166032
1.830000,0.160152
1.840000,0.154373
1.850000,0.148695
1.860000,0.143119
1.870000,0.137648
1.880000,0.132282
1.890000,0.127021
1.900000,0.121869
1.910000,0.116824
1.920000,0.111888
1.930000,0.107062
1.940000,0.102347
1.950000,0.097743
1.960000,0.093251
1.970000,0.088871
1.980000,0.084605
1.990000,0.080451
2.000000,0.076411
2.010000,0.072485
2.020000,0.068673
2.030000,0.064974
2.040000,0.061390
2.050000,0.057920
2.060000,0.054564
2.070000,0.051321
2.080000,0.048191
2.090000,0.045174
2.100000,0.042269
2.110000,0.039476
2.120000,0.036794
2.130000,0.034222
2.140000,0.031759
2.150000,0.029404
2.160000,0.027157
2.170000,0.025016
2.180000,0.022980
2.190000,0.021047
2.200000,0.019216
2.210000,0.017485
2.220000,0.015854
2.230000,0.014319
2.240000,0.012879
2.250000,0.011533
2.260000,0.010277
2.270000,0.009111
2.280000,0.008031
2.290000,0.007035
2.300000,0.006120
2.310000,0.005285
2.320000,0.004525
2.330000,0.003839
2.340000,0.003223
2.350000,0.002675
2.360000,0.002190
2.370000,0.001765
2.380000,0.001398
2.390000,0.001084
2.400000,0.000820
2.410000,0.000602
2.420000,0.000426
2.430000,0.000287
2.440000,0.000182
2.450000,0.000106
2.460000,0.000055
2.470000,0.000023
2.480000,0.000007
2.490000,0.000001
2.500000,0.000000
2.510000,0.000000
2.520000,0.000000
2.530000,0.000000
2.540000,0.000000
2.550000,0.000000
2.560000,0.000000
2.570000,0.000000
2.580000,0.000000
2.590000,0.000000
2.600000,0.000000
2.610000,0.000000
2.620000,0.000000
2.630000,0.000000
2.640000,0.000000
2.650000,0.000000
2.660000,0.000000
2.670000,0.000000
2.680000,0.000000
2.690000,0.000000
2.700000,0.000000
2.710000,0.000000
2.720000,0.000000
2.730000,0.000000
2.740000,0.000000
2.750000,0.000000
2.760000,0.000000
2.770000,0.000000
2.780000,0.000000
2.790000,0.000000
2.800000,0.000000
2.810000,0.000000
2.820000,0.000000
2.830000,0.000000
2.840000,0.000000
2.850000,0.000000
2.860000,0.000000
2.870000,0.000000
2.880000,0.000000
2.890000,0.000000
2.900000,0.000000
2.910000,0.000000
2.920000,0.000000
2.930000,0.000000
2.940000,0.000000
2.950000,0.000000
2.960000,0.000000
2.970000,0.000000
2.980000,0.000000
2.990000,0.000000
3.000000,0.000000
